,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
275,KOI-7913 b,2.34289,6.0705149,1.6096699,484.60739
276,Kepler-1439 b,1.4573,2.7301425,1.3687312,485.3751
277,TOI-2081 b,2.04022,4.8309856,1.5387901,485.69295
278,Kepler-1712 b,2.28684,5.8480353,1.5991423,485.70978
279,K2-345 b,2.10748,5.085248,1.5533679,485.99015
280,Kepler-1824 b,2.37652,6.2612117,1.6231492,486.02588
281,Kepler-225 c,1.83844,4.0364156,1.4817441,486.75367
282,YZ Cet b,0.90801,0.69922161,0.87753026,486.96401
283,K2-239 b,1.09858,1.3666604,1.1153585,487.24953
284,K2-263 b,2.41015,14.80125,2.4781476,487.77104
285,tau Cet h,1.18826,1.8306893,1.2412281,488.04629
286,Kepler-1766 b,2.27563,5.8162525,1.5987141,489.33004
287,Kepler-329 c,1.92812,4.3860264,1.5082335,489.41976
288,Kepler-888 b,1.75997,3.7503704,1.4597701,490.09898
289,Kepler-132 e,1.17705,1.7575889,1.2219718,490.16254
290,Kepler-359 c,4.30464,2.8985914,0.82058784,491.07919
291,CD Cet b,1.81602,3.9506021,1.4749297,492.19235
292,Kepler-1456 b,1.14342,1.5541789,1.1658633,492.94391
293,Kepler-401 d,2.27563,5.7844697,1.59434,494.21263
294,Kepler-1337 b,2.41015,6.3883429,1.6280662,494.46861
295,HD 23472 c,1.87207,3.4102945,1.3496927,494.76382
296,Kepler-445 c,2.4662,6.8333021,1.6645665,495.09378
297,Kepler-732 b,2.17474,5.403076,1.5762201,496.00002
298,Kepler-1309 b,2.36531,6.1976461,1.6187111,496.24412
299,Kepler-1196 b,2.23079,5.5937729,1.5835182,496.67861
300,Kepler-1651 b,1.83844,4.0364156,1.4817441,497.11497
301,K2-21 c,2.48862,6.7697365,1.6493263,497.52794
302,Kepler-354 d,1.24431,2.0690603,1.2895028,499.22266
303,Kepler-430 c,1.7936,3.7185876,1.4398797,499.23399
304,K2-72 b,1.07616,1.2808469,1.0909634,499.29961
305,Kepler-130 d,1.63666,3.337194,1.427945,499.57498
306,K2-346 b,2.26442,5.7209041,1.5894755,500.5888
307,GJ 393 b,1.16584,1.7099147,1.2110658,501.12195
308,Kepler-938 b,2.21958,5.5619901,1.5829956,501.96718
309,Kepler-1454 b,1.88328,4.1953296,1.4925387,502.23125
311,Kepler-1798 b,2.30926,5.9433837,1.6042811,504.20493
312,GJ 536 b,2.17474,5.3585801,1.5697164,504.4022
313,K2-251 b,2.3541,6.1340805,1.6142183,504.41847
314,TOI-270 c,2.3541,6.1499719,1.616308,504.77011
315,Kepler-249 c,1.51335,2.8890565,1.3816827,505.25047
317,HD 26965 b,2.84734,8.4701163,1.7247455,505.5645
318,Kepler-1086 b,2.44378,6.5154741,1.6328337,506.68997
319,Kepler-149 c,1.61424,3.2100628,1.410174,506.83612
320,K2-71 b,2.15232,5.2759448,1.5656573,507.59206
321,Kepler-1742 b,2.17474,5.3712932,1.5715773,508.82976
322,Kepler-48 d,2.04022,7.9457001,1.9734566,510.32701
323,Kepler-969 b,2.07385,4.926334,1.5412506,510.85053
324,Kepler-298 c,1.92812,4.3860264,1.5082335,511.62442
325,K2-343 c,2.0178,4.7356372,1.5319696,512.90462
