P_NAME,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-650 b,9.0580981,,,2.95944,-0.4484,0.50445,2016,2016-05,3.0321456,-3.31E-06,3.31E-06,0.0421,,,0,,,76.77,,,,,,,,,0.843,-0.1,0.1,Transit,M-R relationship,Kepler-650,289.00095,45.154297,13.825,884.378,,,0.13,-0.084,0.092,1.08,-0.05,0.08,1.35,-0.21,0.23,,0.284,,,6.46,-1.86,1,5849,-77.61,64.94,4.21,1.7494992,3.0607473,1.0342319,0.34946879,0.000855602,0.0421,0.0421,0.0421,0.042100001,1085.0152,1085.0152,1085.0152,1462.1902,1462.1902,1462.1902,,1651.314,1651.314,Neptunian,1.35,G,19.266731,19 16 00.2304,+45 09 15.4685,1.9230917,1.0362626,2.436907,1.3125525,2.3104095,1.3878621,2.3104095,1.2670034,2.3104095,3.7442408,2.3514328,0.50088517,0,0,Hot,0,0.21221054,Cygnus,Cyg,Swan
Kepler-655 b,7.7867861,,,2.71282,-0.26904,0.41477,2016,2016-05,46.406336,-0.0001651,0.0001651,0.2559,,,0,,,89.98,,,,,,,,,0.843,-0.1,0.1,Transit,M-R relationship,Kepler-655,297.25907,46.843165,13.568,752.562,-9.1025,9.1025,0,-0.103,0.092,1.15,-0.05,0.06,1.24,-0.12,0.18,,0.324,,,3.39,-1.37,0.947,6170,-62.57,72.99,4.31,1.6942154,2.8703659,1.0580746,0.39002757,0.004842567,0.2559,0.2559,0.2559,0.25590001,32.200264,32.200264,32.200264,606.8897,606.8897,606.8897,,685.38655,685.38655,Neptunian,1.24,F,19.817272,19 49 02.1797,+46 50 35.3940,2.1086281,1.0640836,2.4842089,1.3477792,2.3552563,1.4247301,2.3552563,1.3009418,2.3552563,3.9207014,4.1680009,0.45936447,0,0,Hot,0,0.25974008,Cygnus,Cyg,Swan
Kepler-656 b,9.9162337,,,3.11638,-0.3363,0.21299,2016,2016-05,1.2602591,-6.60E-07,6.60E-07,0.0232,,,0,,,77.17,,,,,,,,,0.791,-0.54,0.002,Transit,M-R relationship,Kepler-656,288.32788,47.381538,15.549,890.352,-20.856,20.856,-0.04,-0.172,0.15,0.86,-0.04,0.04,0.82,-0.05,0.05,,-0.299,,,4.37,-2.65,6.03,5281,-58.78,63.29,4.56,1.7838083,3.1819719,1.0210475,0.32763895,0.000524271,0.0232,0.0232,0.0232,0.023200001,933.30594,933.30594,933.30594,1408.1565,1408.1565,1408.1565,,1590.2915,1590.2915,Neptunian,0.82,K,19.22186,19 13 18.6943,+47 22 53.5368,0.50234259,0.54728011,1.3093223,0.69320696,1.2413559,0.7333827,1.2413559,0.66920021,1.2413559,1.9136556,0.8214147,0.43498194,0,0,Hot,0,0.20625592,Lyra,Lyr,Lyre
Kepler-657 b,12.172813,,,3.51994,-0.32509,0.69502,2016,2016-05,24.543504,-6.44E-05,6.44E-05,0.1654,,,0,,,89.91,,,,,,,,,0.788,-0.1,0.1,Transit,M-R relationship,Kepler-657,291.1973,47.307755,15.404,1691.88,-72.41,79.05,0.03,-0.158,0.138,1.01,-0.06,0.06,1.01,-0.09,0.2,,0.279,,,4.17,-2.43,2.94,5808,-121.47,88.65,4.44,1.8596355,3.4582443,0.98247251,0.27911627,0.003793242,0.1654,0.1654,0.1654,0.1654,69.491069,69.491069,69.491069,735.57533,735.57533,735.57533,,830.71675,830.71675,Neptunian,1.01,G,19.413154,19 24 47.3558,+47 18 27.9162,1.9010783,1.032871,2.431492,1.3082581,2.3052755,1.3833714,2.3052755,1.2628658,2.3052755,3.7227491,2.1430926,0.45535975,0,0,Hot,0,0.20788746,Cygnus,Cyg,Swan
Kepler-66 b,8.2317453,,,2.8025,-0.15694,0.15694,2013,2013-07,17.815815,-7.50E-05,7.50E-05,0.1352,-0.0017,0.0017,0,,,87.08,,,,,,,,,0.56,-0.26,0.26,Transit,M-R relationship,Kepler-66,293.98154,46.687728,15.29,1202.96,-37.295,37.295,-0.2,-0.1,0.1,1.04,-0.04,0.04,0.97,-0.04,0.04,G0 V,0.051,,,1,-0.17,0.17,5962,-79,79,4.48,1.7138513,2.9372864,1.0480951,0.37398575,0.002695141,0.1352,0.1352,0.1352,0.1352,61.524291,61.524291,61.524291,713.52068,713.52068,713.52068,,805.80948,805.80948,Neptunian,0.97,G,19.59877,19 35 55.5728,+46 41 15.8208,1.124605,0.78702089,1.8456897,0.99685443,1.7498818,1.0539479,1.7498818,0.962244,1.7498818,2.8632797,2.8195541,0.36243985,0,0,Hot,0,0.23784755,Cygnus,Cyg,Swan
Kepler-660 b,7.1193473,,,2.56709,-0.16815,0.1121,2016,2016-05,9.2735819,-1.18E-05,1.18E-05,0.0759,,,0,,,88.93,,,,,,,,,0.387,-0.386,0.004,Transit,M-R relationship,Kepler-660,288.1383,47.724564,15.559,568.431,-8.788,9.063,-0.07,-0.182,0.149,0.75,-0.05,0.04,0.71,-0.04,0.03,,-0.626,,,4.57,-2.72,6,4779,-49.24,44.67,4.61,1.6653271,2.7733142,1.0803339,0.42083988,0.001607509,0.0759,0.0759,0.0759,0.075900002,41.069219,41.069219,41.069219,644.94699,644.94699,644.94699,,728.36628,728.36628,Neptunian,0.71,K,19.209221,19 12 33.1952,+47 43 28.4311,0.23659197,0.38480117,0.93890665,0.48740922,0.89016685,0.51594795,0.89016685,0.47054358,0.89016685,1.3132995,0.33128278,0.41869518,0,0,Hot,0,0.25831955,Cygnus,Cyg,Swan
Kepler-661 b,9.6301885,,,3.07154,-0.21299,0.12331,2016,2016-05,6.0293013,-5.36E-06,5.36E-06,0.0585,,,0,,,89.5,,,,,,,,,0.89,-0.15,0.15,Transit,M-R relationship,Kepler-661,283.71075,47.863175,16.016,534.788,-9.697,10.055,-0.05,-0.154,0.164,0.7,-0.04,0.03,0.67,-0.04,0.03,,-0.814,,,4.27,-2.46,5.92,4483,-57.11,56.76,4.64,1.7706768,3.1352964,1.0207572,0.33232748,0.001402125,0.0585,0.0585,0.0585,0.058500001,44.84234,44.84234,44.84234,659.27556,659.27556,659.27556,,744.54815,744.54815,Neptunian,0.67,K,18.914051,18 54 50.5827,+47 51 47.4293,0.1534617,0.31345679,0.775043,0.39704189,0.73480808,0.42043907,0.73480808,0.38330166,0.73480808,1.0577031,0.19469742,0.4045717,0,0,Hot,0,0.23400055,Draco,Dra,Dragon
Kepler-663 b,7.2782613,,,2.60072,-0.15694,0.20178,2016,2016-05,4.9967828,-1.45E-05,1.45E-05,0.0559,,,0,,,86.9,,,,,,,,,0.3083,-0.3082,0.1497,Transit,M-R relationship,Kepler-663,297.80822,47.946634,15.881,1063.09,-33.18,35.35,0.03,-0.165,0.147,0.86,-0.04,0.04,0.82,-0.04,0.06,,-0.313,,,4.57,-2.83,6,5264,-127.67,90.56,4.55,1.6728886,2.7985563,1.0760698,0.41375842,0.00113948,0.0559,0.0559,0.0559,0.055900001,155.65977,155.65977,155.65977,899.88913,899.88913,899.88913,,1016.2834,1016.2834,Neptunian,0.82,K,19.853883,19 51 13.9773,+47 56 47.8831,0.48640721,0.53901951,1.2903341,0.68274401,1.2233533,0.72232632,1.2233533,0.65910071,1.2233533,1.8830583,0.7977714,0.43823832,0,0,Hot,0,0.23440888,Cygnus,Cyg,Swan
Kepler-664 b,7.5643065,,,2.65677,-0.24662,0.68381,2016,2016-05,2.5255933,-3.67E-06,3.67E-06,0.0374,,,0,,,85.41,,,,,,,,,0.183,-0.1829,0.2339,Transit,M-R relationship,Kepler-664,288.7549,48.226203,15.663,1210.12,-40.28,43.1,0.07,-0.15,0.146,1.01,-0.05,0.06,1.02,-0.1,0.26,,-0.111,,,4.68,-2.89,3.12,5754,-86.08,73.56,4.43,1.6873593,2.8471815,1.0716703,0.40337338,0.000731935,0.0374,0.0374,0.0374,0.037400001,553.6774,553.6774,553.6774,1235.8311,1235.8311,1235.8311,,1395.677,1395.677,Neptunian,1.02,G,19.250328,19 15 01.1803,+48 13 34.3308,0.7744618,0.66138825,1.559212,0.83773076,1.4782747,0.88587176,1.4782747,0.80867074,1.4782747,2.3760948,1.9532174,0.46420121,0,0,Hot,0,0.22602542,Cygnus,Cyg,Swan
Kepler-665 b,7.2782613,,,2.60072,-0.14573,0.14573,2016,2016-05,16.013102,-4.31E-05,4.31E-05,0.1148,,,0,,,88.14,,,,,,,,,0.1874,-0.187,0.2838,Transit,M-R relationship,Kepler-665,297.02559,48.478567,15.612,612.838,-11.616,12.066,-0.03,-0.168,0.146,0.79,-0.04,0.04,0.74,-0.04,0.03,,-0.595,,,4.68,-2.75,6.06,4913,-86.97,93.83,4.6,1.6728886,2.7985563,1.0760698,0.41375842,0.002407284,0.1148,0.1148,0.1148,0.1148,19.280408,19.280408,19.280408,533.8558,533.8558,533.8558,,602.90624,602.90624,Neptunian,0.74,K,19.801707,19 48 06.1464,+48 28 42.8408,0.25409727,0.39643732,0.96186599,0.50214715,0.91193492,0.53146576,0.91193492,0.48476972,0.91193492,1.3610177,0.42432694,0.42770222,0,0,Hot,0,0.28932417,Cygnus,Cyg,Swan
Kepler-667 b,20.08673,,,4.73062,-0.28025,0.39235,2016,2016-05,41.439628,-8.18E-05,8.18E-05,0.2288,,,0,,,89.31,,,,,,,,,0.47,-0.1,0.1,Transit,M-R relationship,Kepler-667,295.55499,49.017296,15.362,2302.45,-136.4,154.27,0.15,-0.158,0.152,0.91,-0.04,0.04,0.87,-0.05,0.07,,0.557,-0.078,0.066,4.68,-2.99,6.24,5327,-70.39,53.04,4.53,2.060609,4.2461093,0.89757988,0.18973832,0.006419933,0.2288,0.2288,0.2288,0.22880001,68.879179,68.879179,68.879179,733.95072,733.95072,733.95072,,828.882,828.882,Neptunian,0.87,G,19.703667,19 42 13.2017,+49 01 02.2642,3.6057864,1.4626143,3.4935885,1.852604,3.312238,1.9598798,3.312238,1.7884373,3.312238,5.1270054,0.90586791,0.44834563,0,0,Hot,0,0.17314592,Cygnus,Cyg,Swan
Kepler-668 b,7.7550033,,,2.70161,-0.17936,0.23541,2016,2016-05,8.3539064,-1.70E-05,1.70E-05,0.0768,,,0,,,89.95,,,,,,,,,0.023,-0.023,0.423,Transit,M-R relationship,Kepler-668,285.49928,49.277271,15.365,784.618,-16.369,17.068,-0.06,-0.171,0.151,0.87,-0.05,0.04,0.82,-0.05,0.06,,-0.396,,,3.89,-2.36,6,5352,-60.88,60.59,4.55,1.6942585,2.8705117,1.0625189,0.39329101,0.001592822,0.0768,0.0768,0.0768,0.076800002,68.120458,68.120458,68.120458,731.92115,731.92115,731.92115,,826.58993,826.58993,Neptunian,0.82,G,19.033287,19 01 59.8319,+49 16 38.1767,0.40179081,0.48756905,1.1636086,0.6175735,1.1032063,0.65331743,1.1032063,0.59618165,1.1032063,1.7114483,0.93155917,0.42827513,0,0,Hot,0,0.24030062,Draco,Dra,Dragon
Kepler-669 b,20.817734,,,4.83151,-0.54929,1.27794,2016,2016-05,4.1255469,-3.10E-06,3.10E-06,0.0529,,,0,,,85.95,,,,,,,,,0.67,-0.11,0.11,Transit,M-R relationship,Kepler-669,291.93616,49.253947,15.742,2063.41,-129.4,147.43,0.14,-0.143,0.147,1.15,-0.07,0.1,1.2,-0.13,0.32,,0.358,,,3.16,-1.55,1.3,6038,-109.18,97.84,4.34,2.0757512,4.3087428,0.89180046,0.18458007,0.001389375,0.0529,0.0529,0.0529,0.052900001,814.87061,814.87061,814.87061,1361.1847,1361.1847,1361.1847,,1537.2443,1537.2443,Neptunian,1.2,F,19.462412,19 27 44.6824,+49 15 14.2103,2.2803421,1.1155057,2.611512,1.4129161,2.4759511,1.4937444,2.4759511,1.3638438,2.4759511,4.0772165,3.3223106,0.45401684,0,0,Hot,0,0.15537018,Cygnus,Cyg,Swan
Kepler-67 b,8.9627497,,,2.93702,-0.15694,0.15694,2013,2013-07,15.7259,-0.00011,0.00011,0.1171,-0.0015,0.0015,0,,,89.78,,,,,,,,,0.37,-0.21,0.21,Transit,M-R relationship,Kepler-67,294.15335,46.166398,16.172,1131.19,-62.92,70.63,-0.2,-0.1,0.1,0.86,-0.03,0.03,0.78,-0.03,0.03,G9 V,-0.376,,,1,-0.17,0.17,5331,-63,63,4.59,1.7468965,3.0516475,1.0390285,0.35376963,0.002558525,0.1171,0.1171,0.1171,0.1171,30.68218,30.68218,30.68218,599.60668,599.60668,599.60668,,677.16152,677.16152,Neptunian,0.78,G,19.610224,19 36 36.8078,+46 09 59.0314,0.42072663,0.49949961,1.1929366,0.63268551,1.1310119,0.66931865,1.1310119,0.61077158,1.1310119,1.751313,0.89509343,0.34019217,0,0,Hot,0,0.25173648,Cygnus,Cyg,Swan
Kepler-670 b,,,,13.18296,-1.21068,2.93702,2016,2016-05,2.8165048,-1.50E-07,1.50E-07,0.0383,,,0,,,89.37,,,,,,,,,0.0073,-0.0073,0.0541,Transit,Msini,Kepler-670,297.01546,49.225299,15.162,939.744,-17.58,18.25,0.07,-0.149,0.139,0.99,-0.06,0.05,0.99,-0.09,0.22,,-0.1,,,4.79,-2.94,3.69,5709,-134.39,89.42,4.44,,,,,,0.0383,0.0383,0.0383,0.038300001,541.50498,541.50498,541.50498,1228.982,1228.982,1228.982,,1387.942,1387.942,Jovian,0.99,G,19.801032,19 48 03.7152,+49 13 31.0757,0.79432823,0.67162123,1.5852879,0.85069314,1.5029969,0.899616,1.5029969,0.82118886,1.5029969,2.4063776,1.7958906,0.46290566,0,0,Hot,0,0.069812712,Cygnus,Cyg,Swan
Kepler-671 b,7.6914377,,,2.6904,-0.20178,0.49324,2016,2016-05,4.2809586,-6.48E-06,6.48E-06,0.0503,,,0,,,87.72,,,,,,,,,0.3248,-0.3248,0.139,Transit,M-R relationship,Kepler-671,294.26575,49.314093,15.491,1168.26,-40.8,43.81,0.08,-0.137,0.145,0.97,-0.04,0.05,0.95,-0.07,0.17,,-0.081,,,4.47,-2.8,4.89,5624,-91.38,74.83,4.47,1.6908121,2.8588454,1.0626098,0.3949635,0.001003302,0.0503,0.0503,0.0503,0.050300001,327.99259,327.99259,327.99259,1084.2038,1084.2038,1084.2038,,1224.4378,1224.4378,Neptunian,0.95,G,19.617718,19 37 03.7841,+49 18 50.7359,0.82985077,0.68993552,1.6324677,0.87389251,1.5477276,0.92422287,1.5477276,0.84359371,1.5477276,2.459596,1.5413645,0.45449942,0,0,Hot,0,0.22614877,Cygnus,Cyg,Swan
Kepler-673 b,34.96108,,,6.53543,-0.48203,0.52687,2016,2016-05,3.7287311,-9.30E-07,9.30E-07,0.0455,,,0,,,86.7,,,,,,,,,0.558,-0.149,0.13,Transit,M-R relationship,Kepler-673,290.78576,50.054056,15.592,918.21,-21.242,22.254,0,-0.171,0.149,0.88,-0.05,0.04,0.84,-0.05,0.07,,-0.344,,,4.47,-2.76,6.32,5355,-71.68,60.4,4.54,2.3128919,5.349469,0.81853359,0.12524556,0.001552973,0.0455,0.0455,0.0455,0.045500001,218.76468,218.76468,218.76468,979.80401,979.80401,979.80401,,1106.5347,1106.5347,Neptunian,0.84,G,19.385718,19 23 08.5859,+50 03 14.6020,0.45289758,0.51756461,1.2350687,0.65556697,1.170957,0.69350774,1.170957,0.63285887,1.170957,1.817037,0.9399468,0.4399841,0,0,Hot,0,0.12779023,Cygnus,Cyg,Swan
Kepler-676 b,9.4712745,,,3.03791,-0.3363,0.13452,2016,2016-05,11.598222,-1.40E-05,1.40E-05,0.0798,,,0,,,88.62,,,,,,,,,0.798,-0.5243,0.0908,Transit,M-R relationship,Kepler-676,296.22203,50.287363,17.15,295.196,-2.8065,2.8065,-0.02,-0.087,0.087,0.51,-0.03,0.02,0.49,-0.03,0.02,,-1.295,-0.116,0.091,4.27,-2.52,5.85,3701,-40.14,39.31,4.77,1.7656994,3.1176942,1.0262629,0.33781872,0.002113818,0.0798,0.0798,0.0798,0.079800002,7.9614875,7.9614875,7.9614875,427.95043,427.95043,427.95043,,483.30276,483.30276,Neptunian,0.49,M,19.748136,19 44 53.2899,+50 17 14.5054,0.050699071,0.18364765,0.47182666,0.23261727,0.44732772,0.24655842,0.44732772,0.22454643,0.44732772,0.60794427,0.045714432,0.36404316,0,0,Hot,0,0.34495425,Cygnus,Cyg,Swan
Kepler-677 b,24.981281,,,5.3808,-0.41477,1.16584,2016,2016-05,6.5753168,-3.69E-06,3.69E-06,0.067,,,0,,,88.03,,,,,,,,,0.3,-0.13,0.13,Transit,M-R relationship,Kepler-677,290.09805,50.321573,15.504,1954.08,-98.45,109.21,0.06,-0.163,0.143,1,-0.05,0.05,0.99,-0.08,0.21,,0.39,,,4.57,-2.8,3.8,5723,-87.95,68.82,4.45,2.1546857,4.6426704,0.86282159,0.16035191,0.001959137,0.067,0.067,0.067,0.067000002,546.82756,546.82756,546.82756,1231.9909,1231.9909,1231.9909,,1391.3402,1391.3402,Neptunian,0.99,G,19.339871,19 20 23.5351,+50 19 17.6632,2.4547089,1.1796736,2.7834118,1.494205,2.6389274,1.5801156,2.6389274,1.4423791,2.6389274,4.230228,1.8457822,0.46083367,0,0,Hot,0,0.14440784,Cygnus,Cyg,Swan
Kepler-678 b,23.137879,,,5.14539,-0.34751,0.66139,2016,2016-05,7.2750372,-4.27E-06,4.27E-06,0.0732,,,0,,,85.29,,,,,,,,,0.5956,-0.1,0.1,Transit,M-R relationship,Kepler-678,295.45526,50.494509,15.161,1826.15,-78.1,85.25,0.07,-0.15,0.157,0.94,-0.05,0.04,0.91,-0.06,0.12,,0.449,,,4.47,-2.81,5.63,5520,-108.11,72.95,4.5,2.12057,4.4968173,0.87395071,0.16985121,0.002129911,0.0732,0.0732,0.0732,0.073200002,524.78068,524.78068,524.78068,1219.3808,1219.3808,1219.3808,,1377.0991,1377.0991,Neptunian,0.91,G,19.697018,19 41 49.2655,+50 29 40.2335,2.8119008,1.2777134,3.0327147,1.6183936,2.8752887,1.7117737,2.8752887,1.5623037,2.8752887,4.5275554,1.2757369,0.44976471,0,0,Hot,0,0.14928614,Cygnus,Cyg,Swan
Kepler-679 b,9.3123605,,,3.01549,-0.39235,0.32509,2016,2016-05,12.393586,-3.83E-05,3.83E-05,0.0983,,,0,,,86.13,,,,,,,,,0.8214,-0.5901,0.016,Transit,M-R relationship,Kepler-679,296.02134,50.567802,15.771,922.244,-24.094,25.397,-0.09,-0.185,0.161,0.87,-0.05,0.05,0.84,-0.06,0.07,,-0.348,,,4.47,-2.9,6.27,5403,-105.75,97.13,4.54,1.7573204,3.0881749,1.0241038,0.3396144,0.002166967,0.0983,0.0983,0.0983,0.098300002,46.440081,46.440081,46.440081,665.07121,665.07121,665.07121,,751.09343,751.09343,Neptunian,0.84,G,19.734757,19 44 05.1247,+50 34 04.0868,0.44874539,0.51381974,1.224162,0.6508228,1.1606164,0.68845518,1.1606164,0.62827567,1.1606164,1.8086885,1.016863,0.43831114,0,0,Hot,0,0.23534553,Cygnus,Cyg,Swan
Kepler-68 d,266.99777,-15.999462,15.999462,13.9004,,,2013,2013-03,634.6,-3.7,4.1,1.4,-0.03,0.03,0.112,-0.034,0.035,,,,-64.74,-25.78,20.63,,,,,,,Radial Velocity,Mass,Kepler-68,291.03231,49.040213,10.077,144.166,-0.434,0.436,0.126,-0.004,0.004,1.06,-0.14,0.13,1.26,-0.08,0.06,,0.231,-0.01,0.017,6.3,-1.7,1.7,5875.23,-162.41,113.48,4.26,4.3826841,19.20792,1.381825,0.099409007,0.078534436,1.4087808,1.2432,1.5568,1.4022045,0.87394691,0.7023189,1.1013313,245.74758,233.22682,260.99033,,263.39305,294.74756,Jovian,1.26,G,19.402155,19 24 07.7581,+49 02 24.7664,1.7021585,0.97337289,2.2875056,1.2328941,2.1687633,1.3036033,2.1687633,1.1901045,2.1687633,3.5226036,2.4445408,0.49569768,1,1,Warm,0,0.38595938,Cygnus,Cyg,Swan
Kepler-681 b,9.6937541,,,3.08275,-0.15694,0.15694,2016,2016-05,26.394356,-6.08E-05,6.08E-05,0.1635,,,0,,,89.28,,,,,,,,,0.1304,-0.1303,0.2526,Transit,M-R relationship,Kepler-681,289.39974,51.250243,15.584,686.923,-10.878,11.227,-0.04,-0.164,0.151,0.8,-0.05,0.04,0.76,-0.04,0.03,,-0.457,,,5.01,-2.95,5.63,5021,-62.09,63.8,4.58,1.7732781,3.1445151,1.0200357,0.330885,0.003756387,0.1635,0.1635,0.1635,0.1635,13.060641,13.060641,13.060641,484.32405,484.32405,484.32405,,546.9679,546.9679,Neptunian,0.76,K,19.293317,19 17 35.9404,+51 15 00.8741,0.34914032,0.46235071,1.116924,0.58563519,1.0589442,0.61975214,1.0589442,0.56536552,1.0589442,1.5953786,0.51298222,0.43440464,0,0,Hot,0,0.29431338,Cygnus,Cyg,Swan
